Datum,Zahl 1,Zahl 2,Zahl 3,Zahl 4,Zahl 5,Zahl 6,Zusatzzahl,Gesamt - Ausbezahlt,6er - Gewinner,6er - Betrag,6er - Ausbezahlt,5er ZZ - Gewinner,5er ZZ - Betrag,5er ZZ - Ausbezahlt,5er - Gewinner,5er - Betrag,5er - Ausbezahlt,4er ZZ - Gewinner,4er ZZ - Betrag,4er ZZ - Ausbezahlt,4er - Gewinner,4er - Betrag,4er - Ausbezahlt,3er ZZ - Gewinner,3er ZZ - Betrag,3er ZZ - Ausbezahlt,3er - Gewinner,3er - Betrag,3er - Ausbezahlt,ZZ - Gewinner,ZZ - Betrag,ZZ - Ausbezahlt,6er - Pott Start,6er - Pott Bonus
2024-04-21,7,9,11,14,15,42,33,1869462.2,5JP,4180927.9,0.0,4,43383.0,173532.0,131,1373.7,179954.7,324,178.5,57834.0,6473,52.1,337243.3,8664,16.6,143822.4,109613,5.3,580948.9,304713,1.3,396126.9,2895503.8,1285424.1
2024-04-17,14,17,18,28,37,44,5,1425656.9,4JP,2895503.8,0.0,2,63935.3,127870.6,82,1617.1,132602.2,236,180.6,42621.6,4478,55.5,248529.0,6483,16.4,106321.2,72629,5.9,428511.1,260924,1.3,339201.2,1948313.9,947189.9
2024-04-14,9,15,19,26,31,45,28,1025280.5,3JP,1948313.9,0.0,3,31487.3,94461.9,86,1139.0,97954.0,204,154.3,31477.2,3493,52.5,183382.5,4778,16.4,78359.2,56962,5.5,313291.0,174119,1.3,226354.7,1248595.3,699718.6
2024-04-12,4,8,16,18,27,35,31,897933.2,DJP,1248595.3,0.0,1,85111.8,85111.8,97,909.9,88260.3,204,139.0,28356.0,3840,43.0,165120.0,4318,16.4,70815.2,57201,4.9,280284.9,138450,1.3,179985.0,618137.0,630458.3
2024-04-10,5,12,13,14,39,43,16,902480.5,JP,618137.0,0.0,2,41724.2,83448.4,73,1185.4,86534.2,143,194.5,27813.5,2872,56.4,161980.8,3944,17.6,69414.4,50031,5.5,275170.5,152399,1.3,198118.7,,618137.0
2024-04-07,19,28,37,41,42,43,6,6647350.4,1,4715840.5,4715840.5,3,58273.0,174819.0,115,1576.4,181286.0,342,170.3,58242.6,5791,58.6,339352.6,8162,17.8,145283.6,98315,5.9,580058.5,348052,1.3,452467.6,3420883.9,1294956.6
2024-04-03,3,4,11,12,27,37,25,1330952.2,4JP,3420883.9,0.0,2,62937.0,125874.0,123,1061.2,130527.6,281,149.3,41953.3,5592,43.7,244370.4,6834,15.3,104560.2,88274,4.7,414887.8,206753,1.3,268778.9,2488482.9,932401.0
2024-03-31,5,15,19,21,23,44,36,1482615.3,3JP,2488482.9,0.0,4,34803.7,139214.8,112,1289.0,144368.0,238,194.9,46386.2,5008,54.0,270432.0,6250,18.5,115625.0,86340,5.4,466236.0,231041,1.3,300353.3,1457259.9,1031223.0
2024-03-27,4,11,25,26,32,41,36,1075656.3,DJP,1457259.9,0.0,3,33882.4,101647.2,69,1527.7,105411.3,185,183.1,33873.5,3610,54.7,197467.0,4560,18.5,84360.0,59383,5.7,338483.1,164934,1.3,214414.2,704316.4,752943.5
2024-03-24,1,2,7,11,23,41,42,1116388.2,JP,704316.4,0.0,1,194667.3,194667.3,81,1217.3,98601.3,194,163.3,31680.2,4418,41.8,184672.4,4393,18.0,79074.0,66314,4.8,318307.2,161066,1.3,209385.8,,704316.4
2024-03-20,1,3,6,7,20,45,28,2420667.6,2,725580.0,1451160.0,JP,99584.5,0.0,149,693.1,103271.9,296,112.1,33181.6,5422,35.7,193565.4,6313,13.1,82700.3,74505,4.4,327822.0,176128,1.3,228966.4,713496.4,12083.6
2024-03-17,5,13,32,35,36,40,10,1068914.7,JP,713496.4,0.0,2,48161.0,96322.0,64,1560.7,99884.8,154,208.4,32093.6,3106,60.3,187291.8,4527,17.7,80127.9,52439,6.1,319877.9,194859,1.3,253316.7,,713496.4
2024-03-13,2,5,7,14,38,41,26,1886114.9,1,1000000.0,1000000.0,1,81958.1,81958.1,64,1328.0,84992.0,202,135.2,27310.4,3061,52.0,159172.0,4612,14.8,68257.6,50153,5.4,270826.2,148922,1.3,193598.6,,1000000.0
2024-03-10,7,13,17,20,35,39,12,4353537.7,1,3113259.8,3113259.8,4,28092.1,112368.4,94,1239.6,116522.4,225,166.4,37440.0,4442,49.1,218102.2,5510,16.9,93119.0,70748,5.3,374964.4,221355,1.3,287761.5,2280898.9,832360.9
2024-03-08,6,14,18,22,28,37,33,1098128.5,3JP,2280898.9,0.0,5,20284.8,101424.0,68,1546.7,105175.6,191,177.0,33807.0,3527,55.9,197159.3,4907,17.2,84400.4,59196,5.7,337417.2,183650,1.3,238745.0,1529607.1,751291.8
2024-03-06,3,13,19,21,23,44,24,1128003.5,DJP,1529607.1,0.0,1,105065.0,105065.0,90,1210.6,108954.0,223,157.0,35011.0,4369,46.7,204032.3,5397,16.2,87431.4,68138,5.1,347503.8,184620,1.3,240006.0,751347.8,778259.3
2024-03-03,3,11,14,25,33,39,17,1102131.8,JP,751347.8,0.0,1,101431.9,101431.9,93,1131.0,105183.0,261,129.5,33799.5,4140,47.6,197064.0,6236,13.5,84186.0,64095,5.3,339703.5,185203,1.3,240763.9,,751347.8
